metro,year,median,top,bottom
United States,4/30/1996,100000,173800,59200
United States,5/31/1996,100100,174000,59300
United States,6/30/1996,100300,174400,59400
United States,7/31/1996,100500,174800,59400
United States,8/31/1996,100800,175200,59700
United States,9/30/1996,101000,175700,59800
United States,10/31/1996,101300,176200,59900
United States,11/30/1996,101500,176800,60100
United States,12/31/1996,101900,177500,60300
United States,1/31/1997,102200,178200,60600
United States,2/28/1997,102500,178900,60800
United States,3/31/1997,102800,179500,61000
United States,4/30/1997,103000,180000,61100
United States,5/31/1997,103300,180600,61200
United States,6/30/1997,103600,181100,61400
United States,7/31/1997,104000,181600,61500
United States,8/31/1997,104400,182000,61700
United States,9/30/1997,104700,182400,61900
United States,10/31/1997,105200,182800,62200
United States,11/30/1997,105600,183200,62500
United States,12/31/1997,106100,183600,62800
United States,1/31/1998,106600,184100,63100
United States,2/28/1998,107200,184400,63400
United States,3/31/1998,107700,184700,63700
United States,4/30/1998,108200,185200,64000
United States,5/31/1998,108800,185800,64200
United States,6/30/1998,109400,186500,64500
United States,7/31/1998,110000,187300,64900
United States,8/31/1998,110600,188300,65200
United States,9/30/1998,111100,189400,65600
United States,10/31/1998,111700,190500,65900
United States,11/30/1998,112300,191500,66300
United States,12/31/1998,112900,192600,66600
United States,1/31/1999,113500,193700,66900
United States,2/28/1999,114000,194600,67200
United States,3/31/1999,114400,195500,67500
United States,4/30/1999,114900,196500,67800
United States,5/31/1999,115400,197600,68100
United States,6/30/1999,116100,198700,68500
United States,7/31/1999,116800,200000,68900
United States,8/31/1999,117500,201300,69300
United States,9/30/1999,118300,202700,69700
United States,10/31/1999,119000,204300,70100
United States,11/30/1999,119700,205800,70500
United States,12/31/1999,120600,207600,71000
United States,1/31/2000,121500,209500,71400
United States,2/29/2000,122300,211300,71800
United States,3/31/2000,123000,212800,72200
United States,4/30/2000,123600,214200,72500
United States,5/31/2000,124200,215500,72800
United States,6/30/2000,124800,216700,73100
United States,7/31/2000,125300,217800,73400
United States,8/31/2000,125800,218800,73700
United States,9/30/2000,126200,219900,74000
United States,10/31/2000,126700,221100,74400
United States,11/30/2000,127200,222200,74700
United States,12/31/2000,127900,223500,75100
United States,1/31/2001,128600,224800,75500
United States,2/28/2001,129300,226000,76000
United States,3/31/2001,129900,227300,76400
United States,4/30/2001,130600,228500,76700
United States,5/31/2001,131200,229700,77200
United States,6/30/2001,131700,230900,77600
United States,7/31/2001,132200,232200,77900
United States,8/31/2001,132800,233400,78200
United States,9/30/2001,133300,234700,78500
United States,10/31/2001,133900,236000,78900
United States,11/30/2001,134600,237300,79200
United States,12/31/2001,135200,238600,79500
United States,1/31/2002,136000,239900,79900
United States,2/28/2002,136700,241300,80200
United States,3/31/2002,137400,242600,80600
United States,4/30/2002,138100,243800,81000
United States,5/31/2002,138800,245000,81400
United States,6/30/2002,139500,246200,81800
United States,7/31/2002,140100,247300,82200
United States,8/31/2002,140800,248500,82600
United States,9/30/2002,141500,249800,83000
United States,10/31/2002,142300,251200,83500
United States,11/30/2002,143200,252600,83900
United States,12/31/2002,144000,254200,84400
United States,1/31/2003,144800,255700,84900
United States,2/28/2003,145500,257200,85400
United States,3/31/2003,146200,258700,85900
United States,4/30/2003,147100,260200,86300
United States,5/31/2003,147900,261800,86900
United States,6/30/2003,148800,263400,87400
United States,7/31/2003,149700,265000,88100
United States,8/31/2003,150600,266700,88700
United States,9/30/2003,151600,268500,89200
United States,10/31/2003,152600,270400,89800
United States,11/30/2003,153800,272500,90400
United States,12/31/2003,154900,274600,91100
United States,1/31/2004,156100,277000,91700
United States,2/29/2004,157400,279400,92500
United States,3/31/2004,158700,282000,93400
United States,4/30/2004,160100,284700,94300
United States,5/31/2004,161600,287500,95200
United States,6/30/2004,163100,290500,96100
United States,7/31/2004,164800,293700,97000
United States,8/31/2004,166400,296800,97900
United States,9/30/2004,167900,299900,98900
United States,10/31/2004,169300,303100,99900
United States,11/30/2004,170700,306100,100800
United States,12/31/2004,172000,309000,101600
United States,1/31/2005,173200,311800,102400
United States,2/28/2005,174400,314800,103200
United States,3/31/2005,175700,318100,103900
United States,4/30/2005,177100,321700,104600
United States,5/31/2005,178700,325400,105500
United States,6/30/2005,180300,329300,106300
United States,7/31/2005,182000,333100,107200
United States,8/31/2005,183700,336800,108100
United States,9/30/2005,185300,340300,108900
United States,10/31/2005,186800,343500,109700
United States,11/30/2005,188200,346600,110500
United States,12/31/2005,189600,349400,111300
United States,1/31/2006,190900,352000,112100
United States,2/28/2006,192100,354100,112700
United States,3/31/2006,193300,356100,113400
United States,4/30/2006,194500,358200,114200
United States,5/31/2006,195500,359900,114800
United States,6/30/2006,196600,361400,115400
United States,7/31/2006,197500,362500,115900
United States,8/31/2006,198200,363100,116400
United States,9/30/2006,198700,363500,116800
United States,10/31/2006,199100,363600,117200
United States,11/30/2006,199300,363600,117400
United States,12/31/2006,199500,363600,117600
United States,1/31/2007,199700,363700,117800
United States,2/28/2007,199900,363600,117800
United States,3/31/2007,200100,363500,117900
United States,4/30/2007,200400,363300,118000
United States,5/31/2007,200500,362700,118000
United States,6/30/2007,200000,361800,117800
United States,7/31/2007,199200,360500,117700
United States,8/31/2007,198400,358900,117400
United States,9/30/2007,197700,357200,117100
United States,10/31/2007,196700,355200,116800
United States,11/30/2007,195700,353000,116300
United States,12/31/2007,194600,350500,115600
United States,1/31/2008,193300,348000,114900
United States,2/29/2008,191900,345200,114100
United States,3/31/2008,190400,342500,113200
United States,4/30/2008,188800,339700,112300
United States,5/31/2008,187000,336800,111200
United States,6/30/2008,185100,333800,110100
United States,7/31/2008,183400,330900,108800
United States,8/31/2008,181700,328100,107200
United States,9/30/2008,180000,325500,105700
United States,10/31/2008,178500,323000,104200
United States,11/30/2008,177000,320600,102800
United States,12/31/2008,175600,318400,101300
United States,1/31/2009,174300,316300,100000
United States,2/28/2009,173000,314200,98600
United States,3/31/2009,171600,312000,97200
United States,4/30/2009,170100,309600,95800
United States,5/31/2009,168500,306900,94300
United States,6/30/2009,166800,304200,92800
United States,7/31/2009,165700,302300,91500
United States,8/31/2009,164800,300900,90500
United States,9/30/2009,164000,300000,89600
United States,10/31/2009,163400,299300,89000
United States,11/30/2009,163100,298800,88500
United States,12/31/2009,163000,298600,88200
United States,1/31/2010,163000,298600,88100
United States,2/28/2010,163200,298900,88200
United States,3/31/2010,162800,298200,87800
United States,4/30/2010,161900,296500,87200
United States,5/31/2010,161400,295300,86800
United States,6/30/2010,161400,294700,86600
United States,7/31/2010,160900,293400,86200
United States,8/31/2010,160100,291800,85800
United States,9/30/2010,159200,290200,85400
United States,10/31/2010,158300,288700,84700
United States,11/30/2010,157600,287300,83900
United States,12/31/2010,156600,285700,83100
United States,1/31/2011,155300,284000,82300
United States,2/28/2011,154300,282500,81700
United States,3/31/2011,153500,281500,81000
United States,4/30/2011,152800,280600,80200
United States,5/31/2011,152200,279900,79500
United States,6/30/2011,151600,279200,78900
United States,7/31/2011,150900,278500,78300
United States,8/31/2011,150400,277900,77800
United States,9/30/2011,149900,277400,77400
United States,10/31/2011,149600,277100,77000
United States,11/30/2011,149400,276900,76700
United States,12/31/2011,149200,276900,76300
United States,1/31/2012,148800,276800,76000
United States,2/29/2012,148700,276800,75800
United States,3/31/2012,148800,277100,75800
United States,4/30/2012,149100,278000,75900
United States,5/31/2012,149500,278900,76000
United States,6/30/2012,149900,279800,75900
United States,7/31/2012,150300,280800,76000
United States,8/31/2012,150800,281800,76200
United States,9/30/2012,151400,282800,76400
United States,10/31/2012,151900,283800,76500
United States,11/30/2012,152400,285000,76800
United States,12/31/2012,153100,286300,77200
United States,1/31/2013,153700,287500,77400
United States,2/28/2013,154300,288700,77600
United States,3/31/2013,155200,290200,78100
United States,4/30/2013,156200,292100,78500
United States,5/31/2013,157100,294100,78900
United States,6/30/2013,158100,296100,79400
United States,7/31/2013,159300,298300,80100
United States,8/31/2013,160300,300500,80700
United States,9/30/2013,161300,302500,81000
United States,10/31/2013,162200,304100,81300
United States,11/30/2013,162900,305300,81700
United States,12/31/2013,163500,306300,82200
United States,1/31/2014,164400,307500,82400
United States,2/28/2014,165000,308800,82600
United States,3/31/2014,165700,310100,83000
United States,4/30/2014,166500,311300,83600
United States,5/31/2014,167300,312700,84200
United States,6/30/2014,167900,314000,84700
United States,7/31/2014,168700,315300,85100
United States,8/31/2014,169500,316700,85500
United States,9/30/2014,170100,318000,86000
United States,10/31/2014,170600,319000,86500
United States,11/30/2014,171200,319800,86700
United States,12/31/2014,171700,320700,87100
United States,1/31/2015,172300,321600,87600
United States,2/28/2015,173000,322400,87900
United States,3/31/2015,173700,323500,88300
United States,4/30/2015,174500,324700,88800
United States,5/31/2015,175500,326400,89500
United States,6/30/2015,176500,328000,90200
United States,7/31/2015,177500,329400,90700
United States,8/31/2015,178100,330600,91100
United States,9/30/2015,178800,331800,91500
United States,10/31/2015,179500,332800,92100
United States,11/30/2015,180300,333800,92600
United States,12/31/2015,181100,334900,93100
United States,1/31/2016,181800,335900,93500
United States,2/29/2016,182600,337000,94100
United States,3/31/2016,183500,338400,94900
United States,4/30/2016,184600,340300,95700
United States,5/31/2016,185800,342000,96700
United States,6/30/2016,186900,343600,97900
United States,7/31/2016,188100,345300,98900
United States,8/31/2016,189300,347100,100000
United States,9/30/2016,190600,348700,101000
United States,10/31/2016,191900,350400,102100
United States,11/30/2016,192900,352000,103100
United States,12/31/2016,193900,353600,104100
United States,1/31/2017,195000,354900,105000
United States,2/28/2017,196200,356200,106000
United States,3/31/2017,197400,358000,107200
United States,4/30/2017,198800,359800,108500
United States,5/31/2017,200200,361400,109700
United States,6/30/2017,201300,362600,110700
United States,7/31/2017,202400,363600,111900
United States,8/31/2017,203800,364600,113100
United States,9/30/2017,205000,365700,114200
United States,10/31/2017,205900,366700,115200
United States,11/30/2017,206900,367700,116100
United States,12/31/2017,207900,368900,116900
United States,1/31/2018,209300,370600,117800
United States,2/28/2018,210900,372500,119100
United States,3/31/2018,212400,374100,120100
United States,4/30/2018,213700,375300,121000
United States,5/31/2018,215100,376900,122000
United States,6/30/2018,216500,378300,122900
United States,7/31/2018,217700,379700,123700
United States,8/31/2018,219000,381000,124600
United States,9/30/2018,220300,382400,125600
United States,10/31/2018,221800,384200,126800
United States,11/30/2018,223300,385900,128000
United States,12/31/2018,224700,387400,128800
United States,1/31/2019,225800,388900,129700
United States,2/28/2019,226700,390500,130400
United States,3/31/2019,227000,391100,130500
United States,4/30/2019,226800,390800,130000
