metro,year,median,top,bottom,median-YoY,top-YoY,top-YoY
United States,4/30/96,100000,173800,59200,,,
United States,5/31/96,100100,174000,59300,,,
United States,6/30/96,100300,174400,59400,,,
United States,7/31/96,100500,174400,59400,,,
United States,8/31/96,100800,175200,59700,,,
United States,9/30/96,101000,175700,59800,,,
United States,10/31/96,101300,176200,59900,,,
United States,11/30/96,101500,176800,60100,,,
United States,12/31/96,101900,177500,60300,,,
United States,1/31/97,102200,178200,60600,,,
United States,2/28/97,102500,178900,60800,,,
United States,3/31/97,102800,179500,61000,,,
United States,4/30/97,103000,180000,61100,0.03,0.035673188,0.032095
United States,5/31/97,103300,180600,61200,0.031968032,0.037931034,0.03204
United States,6/30/97,103600,181100,61400,0.032901296,0.038417431,0.03367
United States,7/31/97,104000,181600,61500,0.034825871,0.038901602,0.031879
United States,8/31/97,104400,182000,61700,0.035714286,0.038812785,0.033501
United States,9/30/97,104700,182400,61900,0.036633663,0.038133182,0.035117
United States,10/31/97,105200,182800,62200,0.038499506,0.037457435,0.038397
United States,11/30/97,105600,183200,62500,0.040394089,0.036199095,0.039933
United States,12/31/97,106100,183600,62800,0.041216879,0.034366197,0.041459
United States,1/31/98,106600,184100,63100,0.043052838,0.033108866,0.041254
United States,2/28/98,107200,184400,63400,0.045853659,0.030743432,0.042763
United States,3/31/98,107700,184700,63700,0.04766537,0.028969359,0.044262
United States,4/30/98,108200,185200,64000,0.050485437,0.028888889,0.047463
United States,5/31/98,108800,185800,64200,0.053242982,0.028792913,0.04902
United States,6/30/98,109400,186500,64500,0.055984556,0.02981778,0.050489
United States,7/31/98,110000,187300,64900,0.057692308,0.031387665,0.055285
United States,8/31/98,110600,188300,65200,0.059386973,0.034615385,0.056726
United States,9/30/98,111100,189400,65600,0.06112703,0.038377193,0.059774
United States,10/31/98,111700,190500,65900,0.061787072,0.042122538,0.059486
United States,11/30/98,112300,191500,66300,0.06344697,0.045305677,0.0608
United States,12/31/98,112900,192600,66600,0.064090481,0.049019608,0.06051
United States,1/31/99,113500,193700,66900,0.064727955,0.052145573,0.060222
United States,2/28/99,114000,194600,67200,0.063432836,0.055314534,0.059937
