metro,year,median,top,bottom
United States,1996,100000,173800,59200
United States,1997,100100,174000,59300
United States,1998,100300,174400,59400
United States,1999,100500,174800,59400
United States,2000,100800,175200,59700
United States,2001,101000,175700,59800
United States,2002,101300,176200,59900
United States,2003,101500,176800,60100
United States,2004,101900,177500,60300
United States,2005,102200,178200,60600
United States,2006,102500,178900,60800
United States,2007,102800,179500,61000
United States,2008,103000,180000,61100
United States,2009,103300,180600,61200
United States,2010,103600,181100,61400
United States,2011,104000,181600,61500
United States,2012,104400,182000,61700
United States,2013,104700,182400,61900
United States,2014,105200,182800,62200
United States,2015,105600,183200,62500
United States,2016,106100,183600,62800
United States,2017,106600,184100,63100
United States,2018,107200,184400,63400
United States,2019,107700,184700,63700
United States,2020,108200,185200,64000
United States,2021,108800,185800,64200
United States,2022,109400,186500,64500
United States,2023,110000,187300,64900
United States,2024,110600,188300,65200
United States,2025,111100,189400,65600
United States,2026,111700,190500,65900
United States,2027,112300,191500,66300
United States,2028,112900,192600,66600
United States,2029,113500,193700,66900
United States,2030,114000,194600,67200
United States,2031,114400,195500,67500
United States,2032,114900,196500,67800
United States,2033,115400,197600,68100
United States,2034,116100,198700,68500
United States,2035,116800,200000,68900
United States,2036,117500,201300,69300
United States,2037,118300,202700,69700
United States,2038,119000,204300,70100
United States,2039,119700,205800,70500
United States,2040,120600,207600,71000
United States,2041,121500,209500,71400
United States,2042,122300,211300,71800
United States,2043,123000,212800,72200
United States,2044,123600,214200,72500
United States,2045,124200,215500,72800
United States,2046,124800,216700,73100
United States,2047,125300,217800,73400
United States,2048,125800,218800,73700
United States,2049,126200,219900,74000
United States,2050,126700,221100,74400
United States,2051,127200,222200,74700
United States,2052,127900,223500,75100
United States,2053,128600,224800,75500
United States,2054,129300,226000,76000
United States,2055,129900,227300,76400
United States,2056,130600,228500,76700
United States,2057,131200,229700,77200
United States,2058,131700,230900,77600
United States,2059,132200,232200,77900
United States,2060,132800,233400,78200
United States,2061,133300,234700,78500
United States,2062,133900,236000,78900
United States,2063,134600,237300,79200
United States,2064,135200,238600,79500
United States,2065,136000,239900,79900
United States,2066,136700,241300,80200
United States,2067,137400,242600,80600
United States,2068,138100,243800,81000
United States,2069,138800,245000,81400
United States,2070,139500,246200,81800
United States,2071,140100,247300,82200
United States,2072,140800,248500,82600
United States,2073,141500,249800,83000
United States,2074,142300,251200,83500
United States,2075,143200,252600,83900
United States,2076,144000,254200,84400
United States,2077,144800,255700,84900
United States,2078,145500,257200,85400
United States,2079,146200,258700,85900
United States,2080,147100,260200,86300
United States,2081,147900,261800,86900
United States,2082,148800,263400,87400
United States,2083,149700,265000,88100
United States,2084,150600,266700,88700
United States,2085,151600,268500,89200
United States,2086,152600,270400,89800
United States,2087,153800,272500,90400
United States,2088,154900,274600,91100
United States,2089,156100,277000,91700
United States,2090,157400,279400,92500
United States,2091,158700,282000,93400
United States,2092,160100,284700,94300
United States,2093,161600,287500,95200
United States,2094,163100,290500,96100
United States,2095,164800,293700,97000
United States,2096,166400,296800,97900
United States,2097,167900,299900,98900
United States,2098,169300,303100,99900
United States,2099,170700,306100,100800
United States,2100,172000,309000,101600
United States,2101,173200,311800,102400
United States,2102,174400,314800,103200
United States,2103,175700,318100,103900
United States,2104,177100,321700,104600
United States,2105,178700,325400,105500
United States,2106,180300,329300,106300
United States,2107,182000,333100,107200
United States,2108,183700,336800,108100
